id,population
S34000822,475
S34000823,269
S34000824,223
S34000825,441
S34000826,635
S34000827,311
S34000828,498
S34000829,487
S34000830,281
S34000831,608
S34000832,518
S34000833,224
S34000834,327
S34000835,516
S34000836,323
S34000837,239
S34000838,509
S34000839,450
S34000840,264
S34000841,212
S34000842,581
S34000843,259
S34000844,386
S34000845,260
S34000846,288
S34000847,226
S34000848,414
S34000849,332
S34000850,243
S34000851,250
S34000852,302
S34000853,236
S34000854,574
S34000855,277
S34000856,268
S34000857,260
S34000858,262
S34000859,359
S34000860,250
S34000861,381
S34000862,212
S34000863,319
S34000864,320
S34000865,229
S34000866,331
S34000867,308
S34000868,237
S34000869,292
S34000870,436
S34000871,391
S34000872,227
S34000873,294
S34000874,337
S34000875,248
S34000876,263
S34000877,245
S34000878,2331
S34000879,266
S34000880,335
S34000881,230
S34000882,229
S34000883,343
S34000884,559
S34000885,490
S34000886,502
S34000887,489
S34000888,434
S34000889,311
S34000890,240
S34000891,242
S34000892,261
S34000893,228
S34000894,525
S34000895,463
S34000896,244
S34000897,342
S34000898,281
S34000899,204
S34000900,670
S34000901,308
S34000902,346
S34000903,489
S34000904,399
S34000905,255
S34000906,470
S34000907,430
S34000908,209
S34000909,384
S34000910,233
S34000911,338
S34000912,201
S34000913,223
S34000914,401
S34000915,237
S34000916,239
S34000917,597
S34000918,352
S34000919,216
S34000920,572
S34000921,846
S34000922,262
S34000923,254
S34000924,259
S34000925,494
S34000926,631
S34000927,273
S34000928,274
S34000929,360
S34000930,459
S34000931,291
S34000932,948
S34000933,426
S34000934,325
S34000935,221
S34000936,377
S34000937,391
S34000938,262
S34000939,216
S34000940,327
S34000941,251
S34000942,348
S34000943,211
S34000944,266
S34000945,413
S34000946,897
S34000947,1056
S34000948,269
S34000949,327
S34000950,314
S34000951,227
S34000952,378
S34000953,232
S34000954,419
S34000955,312
S34000956,311
S34000957,314
S34000958,294
S34000959,574
S34000960,259
S34000961,280
S34000962,462
S34000963,261
S34000964,272
S34000965,244
S34000966,292
S34000967,318
S34000968,599
S34000969,321
S34000970,268
S34000971,467
S34000972,320
S34000973,248
S34000974,570
S34000975,278
S34000976,308
S34000977,239
S34000978,225
S34000979,512
S34000980,297
S34000981,311
S34000982,295
S34000983,380
S34000984,414
S34000985,315
S34000986,350
S34000987,559
S34000988,679
S34000989,443
S34000990,239
S34000991,667
S34000992,435
S34000993,218
S34000994,262
S34000995,284
S34000996,594
S34000997,302
S34000998,293
S34000999,227
S34001000,333
S34001001,249
S34001002,586
S34001003,202
S34001004,254
S34001005,285
S34001006,928
S34001007,384
S34001008,344
S34001009,398
S34001010,585
S34001011,383
S34001012,209
S34001013,266
S34001014,236
S34001015,305
S34001016,219
S34001017,362
S34001018,364
S34001019,616
S34001020,213
S34001021,506
S34001022,412
S34001023,249
S34001024,328
S34001025,2037
S34001026,300
S34001027,658
S34001028,248
S34001029,292
S34001030,272
S34001031,314
S34001032,257
S34001033,384
S34001034,275
S34001035,227
S34001036,262
S34001037,803
S34001038,360
S34001039,310
S34001040,278
S34001041,282
S34001042,222
S34001043,259
S34001044,388
S34001045,281
S34001046,358
S34001047,309
S34001048,203
S34001049,381
S34001050,236
S34001051,410
S34001052,307
S34001053,454
S34001054,589
S34001055,902
S34001056,300
S34001057,517
S34001058,251
S34001059,227
S34001060,206
S34001061,202
S34001062,456
S34001063,221
S34001064,311
S34001065,369
S34001066,390
S34001067,335
S34001068,339
S34001069,255
S34001070,620
S34001071,337
S34001072,229
S34001073,289
S34001074,404
S34001075,291
S34001076,460
S34001077,365
S34001078,214
S34001079,383
S34001080,225
S34001081,269
S34001082,243
S34001083,234
S34001084,224
S34001085,680
S34001086,238
S34001087,265
S34001088,229
S34001089,300
S34001090,294
S34001091,200
S34001092,391
S34001093,272
S34001094,405
S34001095,235
S34001096,208
S34001097,213
S34001098,442
S34001099,239
S34001100,356
S34001101,231
S34001102,460
S34001103,218
S34001104,213
S34001105,301
S34001106,320
S34001107,336
S34001108,363
S34001109,319
S34001110,381
S34001111,342
S34001112,242
S34001113,313
S34001114,360
S34001115,259
S34001116,254
S34001117,291
S34001118,384
S34001119,378
S34001120,442
S34001121,258
S34001122,245
S34001123,289
S34001124,210
S34001125,579
S34001126,268
S34001127,213
S34001128,236
S34001129,217
S34001130,204
S34001131,564
S34001132,622
S34001133,424
S34001134,319
S34001135,206
S34001136,553
S34001137,295
S34001138,436
S34001139,269
S34001140,392
S34001141,336
S34001142,319
S34001143,203
S34001144,213
S34001145,200
S34001146,289
S34001147,206
S34001148,285
S34001149,209
S34001150,254
S34001151,325
S34001152,302
S34001153,219
S34001154,268
S34001155,233
S34001156,203
S34001157,220
S34001158,270
S34001159,205
S34001160,294
S34001161,217
S34001162,358
S34001163,226
S34001164,792
S34001165,206
S34001166,339
S34001167,231
S34001168,235
S34001169,221
S34001170,470
S34001171,327
S34001172,230
S34001173,201
S34001174,397
S34001175,294
S34001176,244
S34001177,245
S34001178,413
S34001179,345
S34001180,759
S34001181,210
S34001182,293
S34001183,943
S34001184,306
